,,,,"Total initial assessments1,2",,"Total owed a prevention or relief duty
","Threatened with homelessness within 56 days - 
Prevention duty owed",due to service of valid Section 21 Notice3,"Homeless - 
Relief duty owed4",,Not homeless nor threatened with homelessness within 56 days - no duty owed,,"Number of households
 in area4 (000s)","Households assessed as threatened with homelessness
per (000s)","Households assessed as homeless
per (000s)",homeless end prevention duty dindt get,homeless with relief duty didn’t get,homeless didn’t get accomadation
E92000001,ENGLAND,,,"284,330",,"270,560","119,890","8,960","150,670",,"13,770",,"23,688.89",5.06,6.36,,,
E12000007,London,,,"55,350",,"52,210","24,000","1,600","28,200",,"3,140",,"3,563.45",6.74,7.91,9870,7570,17440
-,Rest of England,,,"228,980",,"218,350","95,880","7,360","122,470",,"10,630",,"20,125.44",4.76,6.09,37390,37070,74460
,,,,,,,,,,,,,,,,0,0,0
E12000001,North East,,,"15,370",,"14,790","7,180",350,"7,600",,590,,"1,182.19",6.07,6.43,2560,2970,5530
E12000002,North West,,,"39,530",,"38,100","15,710","1,070","22,400",,"1,420",,"3,178.36",4.94,7.05,6570,6190,12760
E12000003,Yorkshire and The Humber,,,"27,700",,"26,910","13,490",550,"13,420",,790,,"2,343.74",5.76,5.73,4050,4840,8890
E12000004,East Midlands,,,"20,860",,"20,290","9,330",740,"10,960",,570,,"2,054.97",4.54,5.33,3100,3900,7000
E12000005,West Midlands,,,"27,180",,"25,620","8,850",720,"16,770",,"1,560",,"2,458.62",3.6,6.82,3680,3690,7370
E12000006,East of England,,,"28,650",,"27,020","11,920",940,"15,100",,"1,630",,"2,612.84",4.56,5.78,5400,4340,9740
E12000007,London,,,"55,350",,"52,210","24,000","1,600","28,200",,"3,140",,"3,563.45",6.74,7.91,9870,7570,17440
E12000008,South East,,,"40,930",,"38,090","17,470","1,890","20,620",,"2,830",,"3,830.09",4.56,5.38,7190,6260,13450
E12000009,South West,,,"28,760",,"27,530","11,930","1,100","15,600",,"1,230",,"2,464.65",4.84,6.33,4840,4870,9710
,,,,,,,,,,,,,,,,0,0,0
E07000223,Adur,,,146,,143,46,8,97,,3,,28.32,1.62,3.43,#VALUE!,#VALUE!,#VALUE!
E07000026,Allerdale,,,..,,..,..,..,..,,..,,.., .. , .. ,#VALUE!,#VALUE!,#VALUE!
E07000032,Amber Valley,,,398,,398,257,25,141,,0,,56.92,4.51,2.48,63,188,251
E07000224,Arun,,,605,,579,291,44,288,,26,,73.19,3.98,3.94,142,61,203
E07000170,Ashfield,,,351,,351,125,8,226,,0,,56.94,2.2,3.97,72,49,121
E07000105,Ashford,,,572,,565,303,37,262,,7,,55.34,5.48,4.73,176,99,275
E07000200,Babergh,,,330,,325,201,1,124,,5,,41.05,4.9,3.02,51,83,134
E09000002,Barking and Dagenham,,,"1,534",,"1,434",880,61,554,,100,,78.34,11.23,7.07,500,320,820
E09000003,Barnet,,,"2,116",,"2,035","1,127",113,908,,81,,151.94,7.42,5.98,429,513,942
E08000016,Barnsley,,,795,,783,310,15,473,,12,,110.88,2.8,4.27,119,167,286
E07000027,Barrow-in-Furness,,,295,,287,125,21,162,,8,,31.35,3.99,5.17,24,78,102
E07000066,Basildon,,,656,,652,166,3,486,,4,,77.26,2.15,6.29,43,62,105
E07000084,Basingstoke & Deane,,,399,,391,221,16,170,,8,,74.23,2.98,2.29,124,104,228
E07000171,Bassetlaw,,,234,,232,114,2,118,,2,,51.05,2.23,2.31,45,48,93
E06000022,Bath & North East Somerset,,,403,,398,202,46,196,,5,,79.94,2.53,2.45,61,116,177
E06000055,Bedford,,,"1,110",,"1,082",307,33,775,,28,,71.84,4.27,10.79,138,104,242
E09000004,Bexley,,,797,,794,274,20,520,,3,,99.92,2.74,5.2,#VALUE!,#VALUE!,550
E08000025,Birmingham,,,"4,839",,"4,807","1,288",95,"3,519",,32,,426.33,3.02,8.25,485,796,1281
E07000129,Blaby,,,359,,355,175,3,180,,4,,44.04,3.97,4.09,64,15,79
E06000008,Blackburn with Darwen,,,928,,886,795,14,91,,42,,57.41,13.85,1.59,254,518,772
E06000009,Blackpool,,,"1,192",,"1,117",324,37,793,,75,,62.92,5.15,12.6,104,167,271
